SITE_NO,SITE_NAME,TYPE,MUNICIPALITY,LATITUDE,LONGITUDE
100,BURWOOD HWY/LIVINGSTONE,INT,WTH,-37.85642,145.181054
101,WELLS/CHELSEA HEIGHTS HOTEL,INT,KIN,-38.029447,145.131974
102,MAROONDAH/NELSON/GOODALL,INT,YRG,-37.753185,145.365523
103,BURWOOD HWY NR REYNOLDS,POS,YRG,-37.909907,145.353343
104,MAROONDAH/GREEN,INT,YRG,-37.654057,145.516846
105,MAROONDAH/COCHRANE/COOK,INT,WTH,-37.81611,145.202051
106,SWANSEA/BIRMINGHAM,INT,YRG,-37.780007,145.364209
107,MAROONDAH/KALLAY/BRENTNALL,INT,MRH,-37.79341,145.260271
108,MITCHAM/BRUNSWICK/CULCUTTA,INT,WTH,-37.817863,145.193789
109,SWANSEA/HULL,INT,YRG,-37.776451,145.363423
111,MAROONDAH HWY/METROPOLITAN,INT,WTH,-37.818267,145.16846
112,MAROONDAH/STATION,INT,WTH,-37.816562,145.19231
113,MAROONDAH/STATION/WILLIAMS,INT,WTH,-37.817404,145.150342
114,WHITEHORSE/CHAPEL,INT,WTH,-37.817561,145.154192
115,MAROONDAH/SURREY,INT,WTH,-37.817724,145.156218
117,MAROONDAH/SPRINGVALE,INT,WTH,-37.818459,145.175999
118,HULL/MOOROOLBARK,INT,YRG,-37.775346,145.33038
119,MAROONDAH/ROOKS,INT,WTH,-37.817539,145.185413
120,MOUNTAIN HWY STH OF BARMAH,POS,KNO,-37.855536,145.216955
121,MAROONDAH/MITCHAM,INT,WTH,-37.816367,145.193659
122,MT DANDENONG/HAWTHORY,INT,YRG,-37.802329,145.312383
123,MAROONDAH NR MONOMEETH,POS,WTH,-37.816602,145.206583
124,MAROONDAH/DEEP CREEK,INT,WTH,-37.816708,145.207594
125,MAROONDAH/HEATHERDALE/DAMPIER,INT,MRH,-37.817221,145.213371
126,MAROONDAH/MT DANDENONG,INT,MRH,-37.811072,145.237417
127,MAROONDAH/NEW,INT,MRH,-37.817013,145.22048
129,MAROONDAH/WANTIRNA/RINGWOOD,INT,MRH,-37.815851,145.227325
130,MAROONDAH HWY nr RAILWAY,POS,MRH,-37.815302,145.22879
131,MAROONDAH/WARRANDYTE,INT,MRH,-37.814638,145.231032
133,MAROONDAH/OBAN,INT,MRH,-37.797875,145.254045
134,MAROONDAH/KALINDA/BEAUFORT,INT,MRH,-37.7959,145.256749
136,MAROONDAH/KENT,INT,MRH,-37.786679,145.275333
137,MAROONDAH/CROYDON/WARRIEN/LINCOLN,INT,MRH,-37.782757,145.284167
138,MAROONDAH/DORSET/BELLARA/EXETER,INT,MRH,-37.77143,145.295238
139,CANTERBURY/BAYFIELD,INT,MRH,-37.827894,145.28214
140,MAROONDAH/BLACK SPRINGS,INT,YRG,-37.75887,145.31317
141,MAROONDAH/EDWARD/MANCHESTER,INT,YRG,-37.758434,145.31589
142,MAROONDAH/VICTORIA,INT,YRG,-37.761067,145.334317
